Model,Accuracy,F1 Score,ROC AUC,K-Fold
DecisionTreeClassifier,0.8275862068965517,0.8275862068965517,0.8365384615384616,5
SVC,0.6206896551724138,0.5695006747638327,0.5913461538461539,5
GradientBoostingClassifier,0.8275862068965517,0.8267622461170848,0.8293269230769231,5
RandomForestClassifier,0.8620689655172413,0.8619047619047618,0.8677884615384616,5
KNeighborsClassifier,0.6551724137931034,0.6547619047619049,0.6658653846153846,5
ElasticNet,0.5862068965517241,0.3973727422003284,0.6370192307692307,5
RidgeClassifier,0.8620689655172413,0.8578431372549019,0.8533653846153846,5
Lasso,0.6206896551724138,0.6188769414575865,0.6346153846153846,5
LogisticRegression,0.7241379310344828,0.7211538461538461,0.7211538461538461,5
XGBClassifier,0.7586206896551724,0.7574671445639187,0.7740384615384615,5
DecisionTreeClassifier,0.7586206896551724,0.7586206896551724,0.7668269230769231,7
SVC,0.6206896551724138,0.5695006747638327,0.5913461538461539,7
GradientBoostingClassifier,0.8275862068965517,0.8267622461170848,0.8293269230769231,7
RandomForestClassifier,0.7931034482758621,0.7928571428571427,0.798076923076923,7
KNeighborsClassifier,0.6551724137931034,0.6547619047619049,0.6658653846153846,7
ElasticNet,0.5862068965517241,0.3973727422003284,0.6370192307692307,7
RidgeClassifier,0.8620689655172413,0.8578431372549019,0.8533653846153846,7
Lasso,0.6206896551724138,0.6188769414575865,0.6346153846153846,7
LogisticRegression,0.7241379310344828,0.7211538461538461,0.7211538461538461,7
XGBClassifier,0.7931034482758621,0.7928571428571427,0.798076923076923,7
DecisionTreeClassifier,0.8275862068965517,0.8275862068965517,0.8365384615384616,10
SVC,0.6206896551724138,0.5695006747638327,0.5913461538461539,10
GradientBoostingClassifier,0.7931034482758621,0.7928571428571427,0.798076923076923,10
RandomForestClassifier,0.8275862068965517,0.8267622461170848,0.8293269230769231,10
KNeighborsClassifier,0.6551724137931034,0.6547619047619049,0.6658653846153846,10
ElasticNet,0.5862068965517241,0.3973727422003284,0.6370192307692307,10
RidgeClassifier,0.8620689655172413,0.8578431372549019,0.8533653846153846,10
Lasso,0.6206896551724138,0.6188769414575865,0.6346153846153846,10
LogisticRegression,0.7241379310344828,0.7156862745098039,0.7139423076923077,10
XGBClassifier,0.7931034482758621,0.7928571428571427,0.798076923076923,10
