Sample_No,Time,Temperature,Humidity,TGS2602,TGS2620,TGS2603,TGS2610,TGS2600,TGS822,TGS826,MQ138
1,8/5/23 18:47,24.6,36.6,0.806,2.65,1.08,0.11,0.806,2.65,1.08,0.111
1,8/5/23 18:47,24.6,36.7,0.804,2.64,1.08,0.111,0.804,2.65,1.08,0.111
1,8/5/23 18:47,24.5,36.6,0.802,2.64,1.07,0.11,0.802,2.64,1.07,0.111
1,8/5/23 18:47,24.5,36.6,0.8,2.63,1.07,0.11,0.8,2.63,1.07,0.111
1,8/5/23 18:48,24.5,36.6,0.81,2.64,1.1,0.11,0.81,2.64,1.1,0.111
1,8/5/23 18:48,24.5,36.7,0.808,2.64,1.1,0.11,0.808,2.64,1.1,0.111
1,8/5/23 18:48,24.5,36.8,0.81,2.65,1.11,0.11,0.81,2.65,1.11,0.11
1,8/5/23 18:48,24.5,36.9,0.814,2.65,1.1,0.11,0.814,2.65,1.1,0.11
1,8/5/23 18:48,24.5,36.9,0.814,2.65,1.1,0.11,0.814,2.65,1.1,0.111
1,8/5/23 18:48,24.5,36.9,0.821,2.67,1.13,0.111,0.821,2.67,1.13,0.111
1,8/5/23 18:49,24.5,37,0.828,2.69,1.13,0.11,0.828,2.69,1.13,0.111
1,8/5/23 18:49,24.5,37,0.819,2.68,1.11,0.11,0.819,2.68,1.11,0.111
1,8/5/23 18:49,24.5,37,0.814,2.68,1.12,0.11,0.814,2.68,1.12,0.111
1,8/5/23 18:49,24.5,37,0.813,2.67,1.12,0.11,0.813,2.67,1.12,0.111
1,8/5/23 18:49,24.5,36.9,0.815,2.67,1.11,0.11,0.815,2.67,1.11,0.111
1,8/5/23 18:49,24.5,37.1,0.818,2.67,1.11,0.11,0.818,2.67,1.11,0.11
1,8/5/23 18:50,24.5,37,0.819,2.67,1.11,0.11,0.82,2.67,1.11,0.11
1,8/5/23 18:50,24.5,36.9,0.818,2.67,1.13,0.11,0.818,2.67,1.13,0.111
1,8/5/23 18:50,24.5,36.9,0.815,2.67,1.12,0.11,0.814,2.67,1.12,0.11
1,8/5/23 18:50,24.5,36.9,0.816,2.67,1.11,0.11,0.816,2.67,1.11,0.11
1,8/5/23 18:50,24.5,36.9,0.815,2.67,1.1,0.11,0.815,2.67,1.1,0.11
1,8/5/23 18:50,24.4,36.9,0.811,2.66,1.08,0.11,0.811,2.66,1.08,0.11
1,8/5/23 18:51,24.4,37,0.804,2.64,1.08,0.11,0.804,2.64,1.08,0.11
1,8/5/23 18:51,24.4,36.9,0.805,2.64,1.1,0.11,0.805,2.64,1.1,0.11
1,8/5/23 18:51,24.4,36.9,0.806,2.65,1.16,0.11,0.806,2.65,1.16,0.111
1,8/5/23 18:51,24.4,37,0.808,2.65,1.14,0.11,0.808,2.65,1.14,0.11
1,8/5/23 18:51,24.4,37,0.812,2.66,1.14,0.118,0.812,2.66,1.14,0.119
1,8/5/23 18:51,24.4,37,0.811,2.65,1.1,0.116,0.81,2.65,1.1,0.116
1,8/5/23 18:52,24.4,37,0.809,2.64,1.08,0.115,0.809,2.64,1.08,0.115
1,8/5/23 18:52,24.4,37.1,0.808,2.64,1.08,0.114,0.808,2.64,1.08,0.115
1,8/5/23 18:52,24.4,37.1,0.812,2.64,1.1,0.114,0.812,2.64,1.1,0.114
1,8/5/23 18:52,24.4,37.2,0.812,2.63,1.09,0.114,0.812,2.63,1.09,0.114
1,8/5/23 18:52,24.4,37.2,0.805,2.62,1.06,0.114,0.805,2.62,1.06,0.115
1,8/5/23 18:52,24.4,37.2,0.806,2.62,1.06,0.114,0.806,2.62,1.06,0.114
1,8/5/23 18:53,24.4,37.2,0.804,2.62,1.05,0.114,0.804,2.62,1.05,0.114
1,8/5/23 18:53,24.4,37.2,0.816,2.63,1.09,0.114,0.816,2.64,1.1,0.114
1,8/5/23 18:53,24.4,37.2,0.813,2.63,1.08,0.114,0.813,2.63,1.08,0.114
1,8/5/23 18:53,24.4,37.3,0.81,2.63,1.09,0.114,0.811,2.63,1.09,0.114
1,8/5/23 18:53,24.4,37.3,0.808,2.63,1.08,0.114,0.808,2.63,1.08,0.115
1,8/5/23 18:53,24.4,37.3,0.81,2.63,1.07,0.114,0.81,2.63,1.07,0.114
1,8/5/23 18:54,24.4,37.3,0.81,2.62,1.07,0.116,0.809,2.62,1.07,0.117
1,8/5/23 18:54,24.4,37.4,0.806,2.61,1.07,0.116,0.806,2.61,1.07,0.116
1,8/5/23 18:54,24.4,37.4,0.808,2.61,1.08,0.116,0.808,2.61,1.08,0.116
1,8/5/23 18:54,24.5,37.4,0.808,2.61,1.09,0.116,0.808,2.61,1.09,0.116
1,8/5/23 18:54,24.6,37.3,0.808,2.61,1.11,0.116,0.808,2.61,1.11,0.116
1,8/5/23 18:54,24.7,37.3,0.808,2.61,1.12,0.115,0.808,2.61,1.12,0.116
1,8/5/23 18:55,24.8,37.2,0.806,2.61,1.13,0.115,0.807,2.61,1.13,0.115
1,8/5/23 18:55,24.9,37.2,0.806,2.61,1.14,0.115,0.806,2.61,1.14,0.115
1,8/5/23 18:55,25,37.2,0.806,2.61,1.15,0.115,0.806,2.61,1.15,0.115
1,8/5/23 18:55,25.1,37.3,0.805,2.61,1.17,0.115,0.806,2.61,1.17,0.115
1,8/5/23 18:55,25.2,37.4,0.805,2.61,1.18,0.115,0.805,2.61,1.18,0.115
